,hpso01 (Ingest) [] [Bmax=65000],hpso01 (RCAL) [] [Bmax=65000],hpso01 (FastImg) [] [Bmax=65000],hpso01 (ICAL) [] [Bmax=65000],hpso01 (DPrepA) [] [Bmax=65000],hpso01 (DPrepB) [] [Bmax=65000],hpso01 (DPrepC) [] [Bmax=65000],hpso01 (DPrepD) [] [Bmax=65000],hpso02a (Ingest) [] [Bmax=65000],hpso02a (RCAL) [] [Bmax=65000],hpso02a (FastImg) [] [Bmax=65000],hpso02a (ICAL) [] [Bmax=65000],hpso02a (DPrepA) [] [Bmax=65000],hpso02a (DPrepB) [] [Bmax=65000],hpso02a (DPrepC) [] [Bmax=65000],hpso02a (DPrepD) [] [Bmax=65000],hpso02b (Ingest) [] [Bmax=65000],hpso02b (RCAL) [] [Bmax=65000],hpso02b (FastImg) [] [Bmax=65000],hpso02b (ICAL) [] [Bmax=65000],hpso02b (DPrepA) [] [Bmax=65000],hpso02b (DPrepB) [] [Bmax=65000],hpso02b (DPrepC) [] [Bmax=65000],hpso02b (DPrepD) [] [Bmax=65000],hpso04a (Ingest) [] [Bmax=65000],hpso04a (RCAL) [] [Bmax=65000],hpso04a (FastImg) [] [Bmax=65000],hpso04a (PSS) [] [Bmax=65000],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [] [Bmax=65000],hpso05a (RCAL) [] [Bmax=65000],hpso05a (FastImg) [] [Bmax=65000],hpso05a (PST) [] [Bmax=65000],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [] [Bmax=65000],max_low (RCAL) [] [Bmax=65000],max_low (FastImg) [] [Bmax=65000],max_low (ICAL) [] [Bmax=65000],max_low (DPrepA) [] [Bmax=65000],max_low (DPrepA_Image) [] [Bmax=65000],max_low (DPrepB) [] [Bmax=65000],max_low (DPrepC) [] [Bmax=65000],max_low (DPrepD) [] [Bmax=65000],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies total4,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,32768.0,6541.965753186957,12714.641814385961,6541.965753186957,6541.965753186957,6541.965753186957,12714.641814385961,12714.641814385961,55556.0,4008.780392160461,7791.268785975493,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,55556.0,4008.780392160461,7791.268785975493,,65536.0,27367.011716168163,35439.74112395846,,40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,65536.0,1665.3274663306674,2156.5388904549823,1665.3274663306674,1665.3274663306674,1665.3274663306674,5000.0,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,65536.0,6730.4056930636125,8715.603141048894,6730.4056930636125,6730.4056930636125,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,9186.154016285951,17853.755975294425,9186.154016285951,9186.154016285951,9186.154016285951,9186.154016285951,65536.0,17853.755975294425,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,40000.0,1889.9833897928272,2447.4703424008217,1889.9833897928272,1889.9833897928272,1889.9833897928272,3444.199515303977,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,65536.0,4853.31844060976,6284.889652066419,4853.31844060976,4853.31844060976,4853.31844060976,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,19412.477838152732,25138.762679823107,19412.477838152732,19412.477838152732,19412.477838152732,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies total11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,9593.156930189685,12422.949420286403,,,,,,65536.0,27367.011716168163,35439.74112395846,,,,,,,,,,,,,,,,,,,,,,,65536.0,16710.51552986416,21639.78802367515,,65536.0,17970.64450742732,23271.63058530816,17970.64450742732,17970.64450742732,17970.64450742732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,65536.0,20266.796029628254,26245.102348162807,20266.796029628254,20266.796029628254,20266.796029628254,,,,,,,,,,65536.0,50474.47231826345,65363.45315305577,50474.47231826345,50474.47231826345,50474.47231826345,50474.47231826345,65536.0,65536.0,65536.0,27367.011716168163,35439.74112395846,27367.011716168163,27367.011716168163,27367.011716168163,27367.011716168163,65536.0,49872.948699636945,65536.0,19374.95398925943,25090.184155983865,19374.95398925943,19374.95398925943,19374.95398925943,19374.95398925943,65536.0,35308.426236050145,65536.0,15218.300722888682,19707.398881296172,15218.300722888682,15218.300722888682,15218.300722888682,15218.300722888682,65536.0,27733.443391959554,65536.0,12028.055476087278,15576.096062429204,12028.055476087278,12028.055476087278,12028.055476087278,12028.055476087278,65536.0,21919.62669304715,65536.0,7751.219674612046,10037.67643439111,7751.219674612046,7751.219674612046,7751.219674612046,7751.219674612046,65536.0,16384.0
Frequencies backward kernels0,(undefined),432.90591910899803,364.5592639694523,432.90591910872877,228.4906975183777,260.4309807982672,490.0525966211339,(undefined),(undefined),432.90591910899803,364.5592639694523,315.097514941025,228.4906975183777,260.4309807982672,490.0525966211339,(undefined),(undefined),432.90591910899803,364.5592639694523,315.097514941025,228.4906975183777,260.4309807982672,490.0525966211339,(undefined),(undefined),239.23742443103893,222.76460492222253,(undefined),(undefined),78.09516315759974,99.79045299357838,(undefined),(undefined),43.942808509088366,56.557417788908324,(undefined),(undefined),239.23742443103893,222.76460492222253,(undefined),(undefined),127.07643145049047,162.1223555377206,(undefined),(undefined),40.04608288051017,48.49540789952994,40.04608288051017,54.04391756350456,58.67851098670986,106.85900096534097,(undefined),59.57215712489141,58.66970425658976,75.28973862159648,56.787175065728974,60.79453388039224,40.0,(undefined),72.00996363685051,47.93583103515658,53.53060737750763,42.84623045687495,45.40764706419807,40.0,(undefined),78.09516315759974,99.79045299357838,(undefined),(undefined),82.61549540013807,106.59437546785247,82.61549540013807,83.97922437468992,83.97922437468992,(undefined),230.10634722760446,139.5173363644571,132.92655286885997,130.5446505398811,149.66365218641158,(undefined),426.3448823528296,288.96629213239663,256.836335786166,290.46131315407615,(undefined),109.45256238689247,139.5173363644571,109.22628073011121,149.66365218641158,108.46335139357231,(undefined),109.45256238689247,139.5173363644571,109.45256238689247,149.66365218641158,108.46335139357231,(undefined),109.45256238689247,139.5173363644571,109.45256238689247,149.66365218641158,108.46335139357231,(undefined),91.9566959891865,118.82437470870678,91.98842489587734,94.0272040242694,94.0272040242694,(undefined),91.9566959891865,118.82437470870678,91.9566959891865,94.0272040242694,94.0272040242694,(undefined),452.76620641028853,511.70384416807633,452.7662064102652,289.62556557364024,291.0677495843754,312.739115728629,747.8994558052226,(undefined),(undefined),232.8274817845586,288.96629213239663,232.8274817845586,233.36436975478242,233.36436975478242,228.43012161455033,411.8059337931923,(undefined),(undefined),127.07643145049047,162.1223555377206,127.07643145049047,126.70077328326667,126.70077328326667,125.99248468512151,230.6442270502567,(undefined),(undefined),88.4297367590817,114.10702820215855,88.4297367590817,92.11650820922553,88.41997649963817,88.41997649963817,167.6933876695436,(undefined),(undefined),70.89082286210206,91.56805341145231,70.89082286210206,72.86578627656844,72.86578627656844,72.86578627656844,132.64639335183415,(undefined),(undefined),53.66884117654259,69.21759889713977,53.66884117654259,54.6706599684255,54.6706599684255,54.6706599684255,99.52280345842738,(undefined),(undefined),40.0,46.56898301296599,40.0,40.0,40.0,40.0,66.20293531148351,(undefined)
Frequencies backward kernels1,,432.90591910899803,365.34952932606336,432.90591910872877,228.4906975183777,260.4309807982672,490.0525966211339,,,432.90591910899803,365.34952932606336,315.097514941025,228.4906975183777,260.4309807982672,490.0525966211339,,,432.90591910899803,365.34952932606336,315.097514941025,228.4906975183777,260.4309807982672,490.0525966211339,,,239.23742443103893,222.87904521123585,,,78.93475117159865,99.85097813910417,,,44.15050213429274,56.572258892446094,,,239.23742443103893,222.87904521123585,,,128.59207415011218,162.1721661191935,,,42.09610422796021,48.52010565666923,42.09610422796021,54.04391756350456,60.75024311538215,130.90394095628784,,59.57215712489141,58.68618178750024,75.28973862159648,56.787175065728974,66.63037682039247,40.25679463639328,,72.00996363685051,47.94737459961484,53.53060737750763,42.84623045687495,45.40764706419807,40.0,,78.93475117159865,99.85097813910417,,,82.82999185768156,106.59587715641975,82.82999185768156,85.3156505461264,85.3156505461264,,230.10634722760446,139.5628170368014,132.92655286885997,130.5446505398811,163.249569035261,,426.3448823528296,289.3210998084684,256.836335786166,290.46131315407615,,110.83494682213926,139.5628170368014,110.42345966918141,177.46419686755166,109.03127274361768,,110.83494682213926,139.5628170368014,110.83494682213926,177.46419686755166,109.03127274361768,,110.83494682213926,139.5628170368014,110.83494682213926,177.46419686755166,109.03127274361768,,92.08100014294614,118.82643513438734,92.13924785594844,95.85069509695458,95.85069509695458,,92.08100014294614,118.82643513438734,92.08100014294614,95.85069509695458,95.85069509695458,,452.76620641028853,512.6746998532922,452.7662064102652,289.62556557364024,291.0677495843754,312.739115728629,747.8994558052226,,,240.65545542947945,289.3210998084684,240.65545542947945,241.61099320620596,241.61099320620596,232.76891011363722,416.43735320207855,,,128.59207415011218,162.1721661191935,128.59207415011218,127.90826184547238,127.90826184547238,126.61473187004805,232.8447317924302,,,88.65290718644063,114.11073213443272,88.65290718644063,95.31162669913276,88.63500440933097,88.63500440933097,173.5161129757457,,,71.00966173710289,91.57002388157284,71.00966173710289,74.59725257538823,74.59725257538823,74.59725257538823,135.80178560456517,,,53.826545402512004,69.21870343964841,53.826545402512004,55.65050501174252,55.65050501174252,55.65050501174252,101.30845494752103,,,40.0,46.56933995449551,40.0,40.0,40.0,40.0,66.78816884961081,
